X,Y,NAME,LINE,NOTE
1000883,243865,163rd St - Amsterdam Av,A-C,"A-nights, C-all other times"
982049,197957,Fulton St,J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound"
983306,199127,Chambers St,J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound"
984298,200927,Canal St,J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound"
982313,199141,City Hall,R-W,"N-nights, R-all other times"
983744,201397,Canal St,R-W,"N-nights, R-all other times"
980599,194936,South Ferry,1,"1-all times"
980366,196096,Bowling Green,4-5,"4-all times, 5-all times exc nights"
980961,197059,Wall St,4-5,"4-all times, 5-weekdays"
980644,195450,Whitehall St,R-W,"N-nights, R-all other times"
980653,197127,Rector St,R-W,"N-nights, R-all other times"
1013113,196591,Fresh Pond Rd,M,"M-all times"
1014863,198489,Middle Village - Metropolitan Ave,M,"M-all times"
980429,197043,Rector St,1,"1-all times"
980871,198617,Cortlandt St,1,"Temporarily closed"
981614,198083,Fulton St,4-5,"4-all times, 5-weekdays"
981185,196665,Broad St,J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound"
981164,198136,Cortlandt St,R-W,"N-nights, R-all other times"
981727,196791,Wall St,2-3,"2-all times, 3-all times exc nights"
1004366,254608,Dyckman St,A,"A-all times"
985982,200961,Grand St,B-D,"B-weekdays and evenings, D-all times"
985302,203522,Broadway - Lafayette St,B-D-F-M,"B,M-weekdays and evenings, D,F-all times"
985967,201682,Bowery,J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound"
983958,201160,Canal St,N-Q,"N-all times, Q-weekdays and evenings"
984793,211030,23rd St,A-C-E,"A-nights, C-all other times, E-all times"
986081,213355,34th St - Penn Station,A-C-E,"A,E-all times, C-all times exc nights"
1014370,211280,Jackson Hts - Roosevelt Av,E-F-M-R,"E,F-all times, M-weekdays and evenings, R-all times exc nights"
984194,208087,14th St,1-2-3,"1,2-all times, 3-all times exc nights"
998772,237267,135th St,A-B-C,"A-nights, B-weekdays and evenings, C-all times exc nights"
985301,208233,14th St,F-M,"F-all times, M-weekdays and evenings"
984873,208056,6th Ave,L,"L-all times"
983536,208797,8th Ave,L,"L-all times"
983782,209204,14th St,A-C-E,"A,E-all times, C-all times exc nights"
998002,183357,Nostrand Ave,3-4,"4-nights, 3-all other times"
986167,193382,Clark St,2-3,"2-all times, 3-all times exc nights"
996219,187524,Franklin Ave,A-C,"A-nights, C-all other times"
993725,188209,Clinton - Washington Aves,A-C,"A-nights, C-all other times"
1011124,195928,Forest Ave,M,"M-all times"
999686,228929,110th St,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
996550,223270,86th St,4-5-6-6 Express,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
987887,194212,York St,F,"F-all times"
986876,194064,High St,A-C,"A-all times, C-all times exc nights"
991476,189247,Lafayette Ave,A-C,"A-nights, C-all other times"
997957,182608,President St,2-5,"2-all times, 5 weekdays"
1017776,262108,Woodlawn,4,"4-all times"
985730,203747,Bleecker St,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays PM"
998794,227318,103rd St,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
1019726,185360,Euclid Ave,A-C-S,"S to Ozone Park-Lefferts Blvd-nights, C-all other times, A-all times"
1025447,186996,88th St,A-S,"A-all times, S Euclid Av to Ozone Park-Lefferts Blvd-nights"
994299,172790,Cortelyou Rd,Q,"Q-all times"
1000415,230244,116th St,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
1022766,242875,Parkchester,6-6 Express,"6-all times, 6 Express-weekdays AM southbound, PM northbound"
982341,201344,Franklin St,1-2,"1-all times, 2-nights"
1023361,186821,80th St,A-S,"A-all times, S Euclid Av to Ozone Park-Lefferts Blvd-nights"
989247,213915,5th Ave - Bryant Pk,7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
985042,202430,Spring St,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
1001527,232252,125th St,4-5-6-6 Express,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
989462,149596,Coney Island - Stillwell Av,D-F-N-Q,"D,F,N,Q-all times"
983641,214506,34th St - Hudson Yards,7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
995784,219375,72nd St,Q,"Q-all times"
997607,222676,86th St,Q,"Q-all times"
998909,225000,96th St,Q,"Q-all times"
